Recipient_ID,Volunteer_ID,Location,Role,Card_Received,Stress_Level_Before_Card,Stress_Level_After_Card,Job_Satisfaction_Before_Card,Job_Satisfaction_After_Card,Volunteer_Participation,Volunteer_Motivation_Score,Emotional_Response_Score
R0050,V0050,"Houston, TX",Police Officer,No,3,3,8,8,18,9,9
R0051,V0051,"Houston, TX",Police Officer,No,8,4,8,6,4,3,9
R0052,V0052,"Houston, TX",Police Officer,No,8,3,9,6,19,10,8
R0053,V0053,"Houston, TX",Healthcare Worker,No,4,4,3,10,1,7,9
R0054,V0054,"Houston, TX",Police Officer,No,7,2,9,9,14,2,9
R0055,V0055,"Houston, TX",Police Officer,No,10,10,5,10,2,2,10
R0056,V0056,"Houston, TX",Police Officer,Yes,9,10,9,8,4,5,9
R0057,V0057,"Houston, TX",Healthcare Worker,Yes,3,9,1,1,11,6,10
R0058,V0058,"Houston, TX",Police Officer,Yes,4,4,10,7,4,6,10
R0059,V0059,"Houston, TX",Police Officer,Yes,2,7,3,6,5,2,8
R0060,V0060,"Houston, TX",Healthcare Worker,No,9,8,2,2,12,6,10
R0061,V0061,"Houston, TX",Police Officer,Yes,4,4,1,7,5,7,9
R0062,V0062,"Houston, TX",Healthcare Worker,No,7,1,8,8,5,10,8
R0063,V0063,"Houston, TX",Healthcare Worker,Yes,1,6,9,7,7,9,10
R0064,V0064,"Houston, TX",Police Officer,No,7,3,8,2,14,2,10
R0065,V0065,"Houston, TX",Educator,No,3,7,1,4,1,9,9
R0066,V0066,"Houston, TX",Educator,No,4,4,6,4,7,5,9
R0067,V0067,"Houston, TX",Police Officer,No,2,1,2,1,17,4,10
R0068,V0068,"Houston, TX",Educator,Yes,8,3,2,7,17,10,9
R0069,V0069,"Houston, TX",Police Officer,Yes,9,6,8,10,6,9,8
R0070,V0070,"Houston, TX",Educator,No,2,2,6,7,19,8,10
R0071,V0071,"Houston, TX",Police Officer,No,10,6,10,4,13,3,7
R0072,V0072,"Houston, TX",Healthcare Worker,No,7,9,6,6,8,6,8
R0073,V0073,"Houston, TX",Police Officer,No,1,5,9,4,15,4,10
R0074,V0074,"Houston, TX",Police Officer,Yes,1,4,8,3,6,3,5
R0075,V0075,"Houston, TX",Police Officer,Yes,8,3,8,7,12,7,9
R0076,V0076,"Houston, TX",Police Officer,No,8,5,1,1,13,3,7
R0077,V0077,"Houston, TX",Healthcare Worker,No,3,4,10,5,13,10,8
R0078,V0078,"Houston, TX",Police Officer,No,2,8,9,7,14,5,10
R0079,V0079,"Houston, TX",Police Officer,No,9,10,2,8,11,1,9
R0080,V0080,"Houston, TX",Healthcare Worker,No,2,6,7,1,2,8,7
R0081,V0081,"Houston, TX",Police Officer,No,9,7,4,5,8,2,7
R0082,V0082,"Houston, TX",Police Officer,No,2,10,9,8,6,4,10
R0083,V0083,"Houston, TX",Educator,Yes,9,4,3,3,16,6,8
R0084,V0084,"Houston, TX",Police Officer,No,3,9,2,9,3,9,10
R0085,V0085,"Houston, TX",Educator,Yes,1,5,9,8,13,1,8
R0086,V0086,"Houston, TX",Healthcare Worker,Yes,5,6,4,2,13,1,8
R0087,V0087,"Houston, TX",Healthcare Worker,Yes,8,6,4,7,13,8,10
R0088,V0088,"Houston, TX",Healthcare Worker,No,1,3,1,7,20,3,10
R0089,V0089,"Houston, TX",Police Officer,No,9,9,6,10,6,10,9
R0090,V0090,"Houston, TX",Healthcare Worker,No,9,3,1,4,8,5,8
R0091,V0091,"Houston, TX",Healthcare Worker,No,9,2,8,6,17,9,7
R0092,V0092,"Houston, TX",Healthcare Worker,No,9,9,1,6,14,9,7
R0093,V0093,"Houston, TX",Police Officer,No,9,7,7,4,4,8,8
R0094,V0094,"Houston, TX",Police Officer,Yes,1,4,6,9,16,10,4
R0095,V0095,"Houston, TX",Educator,No,10,4,4,8,4,7,2
R0096,V0096,"Houston, TX",Educator,Yes,5,1,2,10,18,3,9
R0097,V0097,"Houston, TX",Educator,No,8,2,1,4,2,8,9
R0098,V0098,"Houston, TX",Police Officer,Yes,7,10,2,5,8,4,10
R0099,V0099,"Houston, TX",Healthcare Worker,No,4,8,10,5,1,3,10
R0100,V0100,"Houston, TX",Educator,Yes,5,10,2,8,3,10,2
R0101,V0101,"Houston, TX",Police Officer,No,5,3,1,3,17,8,8
R0102,V0102,"Houston, TX",Police Officer,Yes,1,2,1,3,1,10,10
R0103,V0103,"Houston, TX",Healthcare Worker,No,2,2,10,5,14,7,8
R0104,V0104,"Houston, TX",Educator,Yes,3,2,10,1,3,4,7
R0105,V0105,"Houston, TX",Police Officer,No,7,1,3,8,1,2,9
R0106,V0106,"Houston, TX",Police Officer,No,4,4,10,5,11,4,10
R0107,V0107,"Houston, TX",Police Officer,No,2,2,8,10,16,2,10
R0108,V0108,"Houston, TX",Police Officer,Yes,8,8,10,6,3,3,8
R0109,V0109,"Houston, TX",Healthcare Worker,No,3,5,4,3,7,6,3
R0110,V0110,"Houston, TX",Educator,No,7,7,3,10,11,3,9
R0111,V0111,"Houston, TX",Healthcare Worker,Yes,3,6,4,2,14,10,9
R0112,V0112,"Houston, TX",Educator,No,6,9,1,6,12,9,9
R0113,V0113,"Houston, TX",Healthcare Worker,No,6,8,8,6,6,4,8
R0114,V0114,"Houston, TX",Healthcare Worker,Yes,9,1,5,8,17,8,2
R0115,V0115,"Houston, TX",Healthcare Worker,No,4,9,10,6,1,2,6
R0116,V0116,"Houston, TX",Police Officer,No,9,9,5,8,19,5,9
R0117,V0117,"Houston, TX",Healthcare Worker,No,1,8,3,4,18,2,8
R0118,V0118,"Houston, TX",Police Officer,No,2,1,3,2,15,6,9
R0119,V0119,"Houston, TX",Educator,No,7,7,5,3,5,5,9
R0120,V0120,"Houston, TX",Police Officer,Yes,2,6,9,1,20,5,8
R0121,V0121,"Houston, TX",Healthcare Worker,Yes,4,10,9,8,16,5,9
R0122,V0122,"Houston, TX",Healthcare Worker,Yes,7,5,10,9,2,6,9
R0123,V0123,"Houston, TX",Educator,No,4,6,4,3,1,2,9
R0124,V0124,"Houston, TX",Police Officer,Yes,6,3,2,8,4,6,7
R0125,V0125,"Houston, TX",Educator,Yes,5,7,6,6,4,8,8
R0126,V0126,"Houston, TX",Police Officer,Yes,7,3,1,5,19,9,9
R0127,V0127,"Houston, TX",Healthcare Worker,No,1,5,4,5,4,7,3
R0128,V0128,"Houston, TX",Educator,Yes,10,10,9,3,3,6,9
R0129,V0129,"Houston, TX",Educator,Yes,4,10,10,6,15,4,10
R0130,V0130,"Houston, TX",Healthcare Worker,Yes,6,8,1,8,13,3,8
R0131,V0131,"Houston, TX",Educator,No,8,3,4,7,15,8,7
R0132,V0132,"Houston, TX",Healthcare Worker,Yes,9,4,3,2,4,8,10
R0133,V0133,"Houston, TX",Healthcare Worker,No,1,7,2,4,12,5,10
R0134,V0134,"Houston, TX",Healthcare Worker,Yes,4,2,7,8,15,8,8
R0135,V0135,"Houston, TX",Police Officer,Yes,1,10,4,9,6,3,7
R0136,V0136,"Houston, TX",Police Officer,Yes,10,9,7,7,9,9,10
R0137,V0137,"Houston, TX",Police Officer,No,4,7,5,5,10,5,8
R0138,V0138,"Houston, TX",Educator,No,4,1,3,7,4,2,8
R0139,V0139,"Houston, TX",Educator,Yes,5,3,2,4,12,8,8
R0140,V0140,"Houston, TX",Police Officer,No,5,8,5,8,17,9,9
R0141,V0141,"Houston, TX",Police Officer,No,7,5,1,6,6,10,6
R0142,V0142,"Houston, TX",Police Officer,Yes,10,1,10,4,19,1,10
R0143,V0143,"Houston, TX",Healthcare Worker,Yes,3,9,1,4,16,5,8
R0144,V0144,"Houston, TX",Healthcare Worker,No,4,6,5,2,12,9,10
R0145,V0145,"Houston, TX",Police Officer,Yes,3,8,2,2,2,6,8
R0146,V0146,"Houston, TX",Educator,Yes,1,2,9,5,13,1,10
R0147,V0147,"Houston, TX",Healthcare Worker,Yes,3,4,7,3,15,1,8
R0148,V0148,"Houston, TX",Educator,No,8,4,7,3,9,6,9
R0149,V0149,"Houston, TX",Healthcare Worker,No,5,10,6,7,15,1,10
R0150,V0150,"Houston, TX",Educator,Yes,3,8,7,8,8,10,10
R0151,V0151,"Houston, TX",Educator,No,4,9,8,6,17,10,8
R0152,V0152,"Houston, TX",Police Officer,Yes,3,6,7,7,7,4,1
R0153,V0153,"Houston, TX",Healthcare Worker,Yes,4,1,1,9,13,9,10
R0154,V0154,"Houston, TX",Educator,No,1,6,3,2,20,10,7
R0155,V0155,"Houston, TX",Police Officer,No,4,8,9,5,4,5,9
R0156,V0156,"Houston, TX",Police Officer,No,1,4,1,1,9,9,10
R0157,V0157,"Houston, TX",Educator,No,7,7,3,4,4,1,8
R0158,V0158,"Houston, TX",Educator,Yes,5,1,6,6,18,6,2
R0159,V0159,"Houston, TX",Police Officer,Yes,4,3,9,3,13,7,7
R0160,V0160,"Houston, TX",Police Officer,Yes,8,8,9,7,10,9,8
R0161,V0161,"Houston, TX",Educator,Yes,2,9,6,7,20,7,9
R0162,V0162,"Houston, TX",Healthcare Worker,No,9,5,1,8,5,3,9
R0163,V0163,"Houston, TX",Police Officer,Yes,3,7,2,7,5,9,9
R0164,V0164,"Houston, TX",Healthcare Worker,Yes,9,6,8,3,14,6,8
R0165,V0165,"Houston, TX",Police Officer,No,6,8,3,7,11,3,10
R0166,V0166,"Houston, TX",Educator,No,9,4,7,8,18,9,7
R0167,V0167,"Houston, TX",Police Officer,Yes,2,6,10,6,1,5,7
R0168,V0168,"Houston, TX",Police Officer,Yes,9,6,3,8,15,6,7
R0169,V0169,"Houston, TX",Police Officer,Yes,7,3,3,4,4,2,7
R0170,V0170,"Houston, TX",Healthcare Worker,No,6,6,8,5,5,9,10
R0171,V0171,"Houston, TX",Educator,Yes,5,6,3,9,17,3,9
R0172,V0172,"Houston, TX",Police Officer,No,7,7,10,9,6,7,4
R0173,V0173,"Houston, TX",Healthcare Worker,No,6,3,8,9,8,5,7
R0174,V0174,"Houston, TX",Healthcare Worker,No,4,2,1,10,20,5,9
R0175,V0175,"Houston, TX",Healthcare Worker,Yes,4,1,4,7,20,1,9
R0176,V0176,"Houston, TX",Healthcare Worker,Yes,2,8,8,2,12,2,10
R0177,V0177,"Houston, TX",Police Officer,No,4,3,10,1,16,1,7
R0178,V0178,"Houston, TX",Police Officer,No,1,1,1,7,6,8,7
R0179,V0179,"Houston, TX",Police Officer,No,6,8,4,1,5,8,9
R0180,V0180,"Houston, TX",Police Officer,No,8,10,8,10,1,8,8
R0181,V0181,"Houston, TX",Educator,No,7,1,9,2,19,4,9
R0182,V0182,"Houston, TX",Police Officer,No,8,4,5,7,3,3,9
R0183,V0183,"Houston, TX",Healthcare Worker,Yes,6,9,10,7,2,3,10
R0184,V0184,"Houston, TX",Police Officer,Yes,7,8,1,7,11,5,7
R0185,V0185,"Houston, TX",Healthcare Worker,Yes,8,7,4,8,3,9,9
R0186,V0186,"Houston, TX",Healthcare Worker,Yes,8,1,7,7,3,7,9
R0187,V0187,"Houston, TX",Educator,No,2,5,6,3,20,4,9
R0188,V0188,"Houston, TX",Educator,No,10,2,7,3,17,5,8
R0189,V0189,"Houston, TX",Educator,No,5,9,2,10,16,4,9
R0190,V0190,"Houston, TX",Healthcare Worker,Yes,4,9,4,1,16,3,8
R0191,V0191,"Houston, TX",Police Officer,Yes,10,6,1,3,1,4,8
R0192,V0192,"Houston, TX",Police Officer,No,8,9,2,4,19,5,8
R0193,V0193,"Houston, TX",Healthcare Worker,No,9,5,7,10,17,3,10
R0194,V0194,"Houston, TX",Educator,Yes,1,9,5,3,8,9,7
R0195,V0195,"Houston, TX",Educator,Yes,1,1,1,10,15,1,7
R0196,V0196,"Houston, TX",Healthcare Worker,No,2,7,4,5,6,9,7
R0197,V0197,"Houston, TX",Educator,Yes,1,5,9,9,2,1,10
R0198,V0198,"Houston, TX",Educator,No,8,3,10,9,11,4,8
R0199,V0199,"Houston, TX",Educator,Yes,8,8,3,10,8,1,9
R0200,V0200,"Houston, TX",Healthcare Worker,No,2,3,5,8,20,8,9
R0201,V0201,"Houston, TX",Police Officer,Yes,1,8,5,10,14,7,9
R0202,V0202,"Houston, TX",Healthcare Worker,No,1,1,10,5,18,2,7
R0203,V0203,"Houston, TX",Healthcare Worker,No,4,4,7,3,16,6,7
R0204,V0204,"Houston, TX",Educator,No,5,4,10,4,20,4,1
R0205,V0205,"Houston, TX",Educator,Yes,8,3,5,10,4,2,8
R0206,V0206,"Houston, TX",Educator,No,7,8,5,1,19,1,10
R0207,V0207,"Houston, TX",Healthcare Worker,No,1,4,9,1,10,3,6
R0208,V0208,"Houston, TX",Healthcare Worker,No,3,2,8,10,6,9,10
R0209,V0209,"Houston, TX",Healthcare Worker,Yes,5,5,4,7,17,7,8
R0210,V0210,"Houston, TX",Police Officer,Yes,6,7,7,4,5,2,10
R0211,V0211,"Houston, TX",Educator,No,5,1,10,4,20,3,8
R0212,V0212,"Houston, TX",Police Officer,No,8,9,5,2,8,7,7
R0213,V0213,"Houston, TX",Healthcare Worker,No,10,8,7,5,15,10,8
R0214,V0214,"Houston, TX",Healthcare Worker,No,4,5,8,5,5,4,7
R0215,V0215,"Houston, TX",Educator,No,6,6,2,6,5,1,7
R0216,V0216,"Houston, TX",Healthcare Worker,No,3,10,6,5,13,6,9
R0217,V0217,"Houston, TX",Educator,Yes,4,9,6,9,14,1,7
R0218,V0218,"Houston, TX",Educator,No,1,5,10,3,3,3,8
R0219,V0219,"Houston, TX",Healthcare Worker,No,2,3,1,10,9,2,9
R0220,V0220,"Houston, TX",Healthcare Worker,Yes,10,5,5,8,8,4,9
R0221,V0221,"Houston, TX",Healthcare Worker,No,3,6,2,8,13,3,4
R0222,V0222,"Houston, TX",Healthcare Worker,No,7,3,3,6,10,1,10
R0223,V0223,"Houston, TX",Healthcare Worker,Yes,2,10,10,3,3,9,10
R0224,V0224,"Houston, TX",Healthcare Worker,No,7,8,1,6,3,5,7
R0225,V0225,"Houston, TX",Police Officer,Yes,6,7,1,1,12,4,2
R0226,V0226,"Houston, TX",Educator,Yes,1,8,2,5,1,10,10
R0227,V0227,"Houston, TX",Police Officer,Yes,2,7,2,3,15,6,7
R0228,V0228,"Houston, TX",Police Officer,Yes,2,1,1,9,6,5,9
R0229,V0229,"Houston, TX",Educator,No,4,10,6,6,18,5,5
R0230,V0230,"Houston, TX",Healthcare Worker,Yes,7,7,5,1,6,7,8
R0231,V0231,"Houston, TX",Educator,Yes,2,9,10,5,9,10,10
R0232,V0232,"Houston, TX",Educator,No,9,1,4,6,8,1,10
R0233,V0233,"Houston, TX",Healthcare Worker,No,2,7,1,8,15,7,8
R0234,V0234,"Houston, TX",Healthcare Worker,No,3,3,2,6,2,9,9
R0235,V0235,"Houston, TX",Healthcare Worker,No,4,2,10,5,3,5,4
R0236,V0236,"Houston, TX",Educator,No,6,10,3,1,19,9,7
R0237,V0237,"Houston, TX",Healthcare Worker,No,2,6,4,9,2,4,8
R0238,V0238,"Houston, TX",Healthcare Worker,No,6,5,6,9,17,9,7
R0239,V0239,"Houston, TX",Healthcare Worker,Yes,5,4,3,3,20,8,9
R0240,V0240,"Houston, TX",Educator,Yes,1,3,1,7,4,5,7
R0241,V0241,"Houston, TX",Healthcare Worker,No,2,5,2,7,20,6,9
R0242,V0242,"Houston, TX",Educator,No,1,2,6,6,4,5,9
R0243,V0243,"Houston, TX",Educator,No,7,1,2,10,1,7,6
R0244,V0244,"Houston, TX",Police Officer,No,2,5,8,4,17,6,7
R0245,V0245,"Houston, TX",Educator,No,2,9,10,6,11,6,4
R0246,V0246,"Houston, TX",Healthcare Worker,Yes,6,10,10,10,17,5,8
R0247,V0247,"Houston, TX",Police Officer,Yes,10,1,3,4,1,7,10
R0248,V0248,"Houston, TX",Police Officer,Yes,3,3,2,10,7,2,9
R0249,V0249,"Houston, TX",Educator,No,1,7,9,1,8,10,9
R0250,V0250,"Houston, TX",Healthcare Worker,No,6,2,2,4,16,7,8
R0251,V0251,"Houston, TX",Healthcare Worker,No,5,10,2,1,17,3,9
R0252,V0252,"Houston, TX",Healthcare Worker,Yes,4,2,10,9,19,1,8
R0253,V0253,"Houston, TX",Healthcare Worker,Yes,9,6,9,2,9,6,5
R0254,V0254,"Houston, TX",Healthcare Worker,Yes,8,2,7,3,3,4,8
R0255,V0255,"Houston, TX",Police Officer,No,5,3,5,7,13,3,10
R0256,V0256,"Houston, TX",Educator,No,8,4,1,1,11,7,7
R0257,V0257,"Houston, TX",Educator,No,6,9,9,5,4,3,8
R0258,V0258,"Houston, TX",Police Officer,No,7,5,3,1,9,5,7
R0259,V0259,"Houston, TX",Educator,No,1,8,3,6,9,7,8
R0260,V0260,"Houston, TX",Police Officer,No,1,7,4,6,18,2,9
R0261,V0261,"Houston, TX",Healthcare Worker,Yes,3,7,3,7,9,3,9
R0262,V0262,"Houston, TX",Educator,Yes,10,6,3,1,11,3,10
R0263,V0263,"Houston, TX",Healthcare Worker,Yes,4,3,3,9,2,3,8
R0264,V0264,"Houston, TX",Educator,Yes,3,7,5,4,11,5,8
R0265,V0265,"Houston, TX",Healthcare Worker,No,10,3,4,8,19,1,8
R0266,V0266,"Houston, TX",Healthcare Worker,Yes,5,7,7,1,18,7,7
R0267,V0267,"Houston, TX",Healthcare Worker,Yes,3,9,10,6,8,3,10
R0268,V0268,"Houston, TX",Police Officer,No,8,1,7,1,7,10,7
R0269,V0269,"Houston, TX",Healthcare Worker,No,8,6,3,3,18,6,7
R0270,V0270,"Houston, TX",Healthcare Worker,Yes,6,5,7,7,13,9,8
R0271,V0271,"Houston, TX",Healthcare Worker,Yes,2,8,9,9,20,10,5
R0272,V0272,"Houston, TX",Healthcare Worker,No,7,10,4,7,12,6,9
R0273,V0273,"Houston, TX",Healthcare Worker,Yes,10,8,9,8,6,3,5
R0274,V0274,"Houston, TX",Police Officer,Yes,1,4,5,6,9,7,10
R0275,V0275,"Houston, TX",Educator,Yes,5,2,7,5,10,8,10
R0276,V0276,"Houston, TX",Healthcare Worker,Yes,8,9,6,5,3,9,10
R0277,V0277,"Houston, TX",Police Officer,Yes,7,1,2,4,20,6,9
R0278,V0278,"Houston, TX",Educator,No,10,8,9,4,18,5,7
R0279,V0279,"Houston, TX",Educator,No,1,8,9,8,19,3,3
R0280,V0280,"Houston, TX",Police Officer,No,8,2,6,7,18,4,7
R0281,V0281,"Houston, TX",Educator,No,7,6,2,10,19,8,3
R0282,V0282,"Houston, TX",Police Officer,No,7,5,8,5,11,5,10
R0283,V0283,"Houston, TX",Healthcare Worker,Yes,2,3,9,8,15,10,10
R0284,V0284,"Houston, TX",Healthcare Worker,Yes,8,6,10,4,19,2,10
R0285,V0285,"Houston, TX",Healthcare Worker,No,5,5,6,5,11,4,10
R0286,V0286,"Houston, TX",Educator,No,5,3,10,4,15,8,9
R0287,V0287,"Houston, TX",Police Officer,No,7,8,10,10,6,2,2
R0288,V0288,"Houston, TX",Educator,Yes,1,8,7,6,1,6,8
R0289,V0289,"Houston, TX",Healthcare Worker,Yes,7,9,2,10,13,1,8
R0290,V0290,"Houston, TX",Healthcare Worker,Yes,9,5,1,6,7,2,10
R0291,V0291,"Houston, TX",Police Officer,No,2,5,10,7,1,7,7
R0292,V0292,"Houston, TX",Educator,No,2,2,5,10,9,3,10
R0293,V0293,"Houston, TX",Educator,Yes,7,6,1,8,13,6,5
R0294,V0294,"Houston, TX",Educator,No,7,4,5,8,2,8,9
R0295,V0295,"Houston, TX",Police Officer,No,1,6,10,4,1,10,8
R0296,V0296,"Houston, TX",Police Officer,Yes,2,9,8,5,8,9,8
R0297,V0297,"Houston, TX",Educator,No,8,1,1,9,15,8,7
R0298,V0298,"Houston, TX",Healthcare Worker,No,10,8,8,4,2,4,8
R0299,V0299,"Houston, TX",Healthcare Worker,Yes,8,8,6,7,1,5,10
R0300,V0300,"Houston, TX",Police Officer,No,5,4,7,9,19,7,7
R0301,V0301,"Houston, TX",Police Officer,No,4,9,4,3,17,8,7
R0302,V0302,"Houston, TX",Police Officer,No,9,3,2,3,9,5,9
R0303,V0303,"Houston, TX",Healthcare Worker,Yes,6,5,5,9,11,8,4
R0304,V0304,"Houston, TX",Police Officer,Yes,6,2,1,1,18,5,9
R0305,V0305,"Houston, TX",Educator,No,7,9,2,6,6,8,8
R0306,V0306,"Houston, TX",Police Officer,No,8,10,3,6,18,1,8
R0307,V0307,"Houston, TX",Educator,Yes,3,1,10,6,12,1,10
R0308,V0308,"Houston, TX",Police Officer,No,2,10,1,10,10,3,10
R0309,V0309,"Houston, TX",Healthcare Worker,Yes,1,5,7,10,16,3,8
R0310,V0310,"Houston, TX",Educator,No,7,6,2,7,2,4,8
R0311,V0311,"Houston, TX",Police Officer,No,2,2,6,5,6,3,8
R0312,V0312,"Houston, TX",Educator,No,2,4,8,1,8,6,8
R0313,V0313,"Houston, TX",Educator,No,3,4,5,4,8,2,10
R0314,V0314,"Houston, TX",Educator,Yes,2,1,6,10,4,2,10
R0315,V0315,"Houston, TX",Educator,Yes,1,4,3,2,18,8,10
R0316,V0316,"Houston, TX",Educator,Yes,4,7,9,7,4,8,7
R0317,V0317,"Houston, TX",Healthcare Worker,No,10,1,8,7,9,8,10
R0318,V0318,"Houston, TX",Healthcare Worker,Yes,1,2,10,3,11,7,10
R0319,V0319,"Houston, TX",Healthcare Worker,No,10,9,9,1,15,4,9
R0320,V0320,"Houston, TX",Educator,No,2,9,3,2,7,10,8
R0321,V0321,"Houston, TX",Police Officer,Yes,10,4,7,10,15,8,10
R0322,V0322,"Houston, TX",Educator,No,7,6,10,5,14,1,9
R0323,V0323,"Houston, TX",Police Officer,Yes,3,4,2,2,4,9,5
R0324,V0324,"Houston, TX",Healthcare Worker,Yes,1,7,8,6,7,4,10
R0325,V0325,"Houston, TX",Police Officer,Yes,7,6,8,1,15,8,10
R0326,V0326,"Houston, TX",Healthcare Worker,Yes,9,10,10,5,7,9,9
R0327,V0327,"Houston, TX",Healthcare Worker,Yes,1,3,7,5,19,1,10
R0328,V0328,"Houston, TX",Healthcare Worker,Yes,9,5,4,4,19,6,7
R0329,V0329,"Houston, TX",Police Officer,No,10,6,6,5,18,4,9
R0330,V0330,"Houston, TX",Police Officer,No,7,7,6,6,15,3,8
R0331,V0331,"Houston, TX",Healthcare Worker,Yes,10,9,4,10,5,6,8
R0332,V0332,"Houston, TX",Healthcare Worker,Yes,3,6,4,7,9,8,9
R0333,V0333,"Houston, TX",Educator,Yes,9,10,9,5,15,7,9
R0334,V0334,"Houston, TX",Educator,Yes,3,1,3,10,17,9,7
R0335,V0335,"Houston, TX",Police Officer,No,6,8,5,7,11,7,9
R0336,V0336,"Houston, TX",Police Officer,Yes,3,2,3,3,18,7,6
R0337,V0337,"Houston, TX",Police Officer,No,6,9,6,1,9,5,10
R0338,V0338,"Houston, TX",Police Officer,No,8,10,5,4,17,9,8
R0339,V0339,"Houston, TX",Healthcare Worker,No,7,7,4,6,10,5,10
R0340,V0340,"Houston, TX",Police Officer,Yes,7,6,9,5,14,2,8
R0341,V0341,"Houston, TX",Healthcare Worker,Yes,8,6,9,9,19,10,7
R0342,V0342,"Houston, TX",Educator,No,2,5,5,3,7,8,4
R0343,V0343,"Houston, TX",Police Officer,Yes,5,6,1,8,20,5,10
R0344,V0344,"Houston, TX",Police Officer,No,5,6,7,2,12,9,10
R0345,V0345,"Houston, TX",Healthcare Worker,Yes,9,1,2,5,7,7,9
R0346,V0346,"Houston, TX",Educator,No,1,5,4,9,14,7,8
R0347,V0347,"Houston, TX",Healthcare Worker,No,8,8,4,5,8,9,9
R0348,V0348,"Houston, TX",Educator,Yes,7,5,10,6,2,3,9
R0349,V0349,"Houston, TX",Healthcare Worker,No,3,6,9,9,8,5,7
